Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue_lineage,cell_fraction,genetic_tag,treatment,strain,treatment_medium,treatment_length
SRR13125094,RNA-Seq,86,8745532640,PRJNA680481,SAMN16881229,3682504048,hTERT RPE-1,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9567119,GSM4932430,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:23:00Z,1,GSM4932430,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,SRP293782,"Retina, eye; pigmented epithelium",Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase and Mitotic treatments,,,
SRR13125095,RNA-Seq,86,8960417486,PRJNA680481,SAMN16881250,3775404452,hTERT RPE-1,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9567120,GSM4932431,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:34:00Z,1,GSM4932431,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,SRP293782,"Retina, eye; pigmented epithelium",Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase and Mitotic treatments,,,
SRR13125096,RNA-Seq,86,4066265244,PRJNA680481,SAMN16881249,1442373001,hTERT RPE-1,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9567121,GSM4932432,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:13:00Z,1,GSM4932432,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR13125097,RNA-Seq,86,4351333400,PRJNA680481,SAMN16881248,1529879980,hTERT RPE-1,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9567122,GSM4932433,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:14:00Z,1,GSM4932433,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR13125098,RNA-Seq,86,3901240188,PRJNA680481,SAMN16881247,1382414785,hTERT RPE-1,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9567123,GSM4932434,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:11:00Z,1,GSM4932434,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR13125099,RNA-Seq,86,2433272046,PRJNA680481,SAMN16881246,947367425,hTERT RPE-1,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9567124,GSM4932435,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:06:00Z,1,GSM4932435,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR13125100,RNA-Seq,86,1286859624,PRJNA680481,SAMN16881245,433686779,hTERT RPE-1,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9567125,GSM4932436,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:02:00Z,1,GSM4932436,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR13125101,RNA-Seq,86,1301185934,PRJNA680481,SAMN16881244,434012458,hTERT RPE-1,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9567126,GSM4932437,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:01:00Z,1,GSM4932437,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR13125102,RNA-Seq,86,1734671428,PRJNA680481,SAMN16881243,571656747,hTERT RPE-1,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9567127,GSM4932438,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:04:00Z,1,GSM4932438,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR13125103,RNA-Seq,86,2297185474,PRJNA680481,SAMN16881242,1029673775,hTERT RPE-1,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX9567128,GSM4932439,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:06:00Z,1,GSM4932439,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR13125104,RNA-Seq,86,2115220310,PRJNA680481,SAMN16881241,949784520,hTERT RPE-1,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9567129,GSM4932440,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:04:00Z,1,GSM4932440,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
SRR13125105,RNA-Seq,86,2055706934,PRJNA680481,SAMN16881240,924528336,hTERT RPE-1,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9567130,GSM4932441,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:04:00Z,1,GSM4932441,Interphase hTERT RPE1 FUCCI cells,SRP293782,"Retina, eye; pigmented epithelium",Interphase cells,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase treatment,,,
